"","暧昧对象之间","暗恋对象-暗恋者","报案人-受害者","报案人-罪犯","编辑-作者","表兄弟姐妹之间","厨师-顾客","敌人之间","恩人-受助者","青梅竹马之间","情敌之间","人 - 上帝","认识但不熟的人之间","商家-客户","上级-下级","生意伙伴之间","生意竞争对手之间","师父-徒弟","收银员-顾客","首领-反贼","叔叔婶婶-侄子侄女","双胞胎之间","谈判中对立的双方","堂兄弟姐妹之间","同父异母(或同母异父)的子女之间","继子女之间","同事之间","同学之间","搭讪的人-被搭讪的人","施害者-受害者","受害者-旁观者","房东-租户","夫妻之间","服务员-顾客","子女-父母","义父义母-义子义女","公公婆婆-媳妇","雇主-保镖","雇主-雇员","官员-行贿者","冠军-亚军","黑帮老大-小弟","继父继母-儿女","继祖父母 - 继孙","寄养父母 - 寄养子女","老师-学生","家教-学生","假朋友之间（表面朋友，实则讨厌对方）","教徒之间","童年玩伴之间","外地人-本地人","外公外婆-外孙/外孙女","未婚夫-未婚妻","校友之间","校长-老师","亲兄弟姐妹之间","演员-编剧","演员-观众","演奏家 - 听众","爷爷奶奶-孙子女","主治医生-病人","姨父姨妈-侄子侄女","见义勇为者-受助者","金主 - 援交男/女","经理-老板","经理-员工","捐款人-受惠者","军官-部下","考官-考生","老师-家长","老乡之间","邻居之间","旅伴之间","卖家-买家","陌生人之间","玩伴之间","朋友之间","老朋友之间","挚友之间","知己之间","乞丐-路人","前任官员-现任官员","狱警-囚犯","原告-被告","原配-第三者","出轨者-小三","远房亲戚之间","岳父岳母-女婿","战友之间","政府官员-老百姓","政治对手之间","政治盟友之间","中介-客户","忠臣-反贼","主人-客人","主人-仆人","保姆-雇主","保姆-小孩","主职-副职","宗教领袖 - 信徒","祖先-后代","居委会-居民","远房表兄弟姐妹之间","君臣之间","债主-欠债人","亲家之间","律师-法官","律师-委托人","警察-老百姓","嫌疑人-警察","罪犯 - 人质","罪犯-被害人亲属","罪犯-旁观者","小偷-失主","罪犯-受害人","法官-检察官","犯罪同伙之间","赌徒之间","作家-读者","作家-评论家"
"暧昧对象之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"暗恋对象-暗恋者",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"报案人-受害者",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"报案人-罪犯",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"编辑-作者",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"表兄弟姐妹之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"厨师-顾客",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"敌人之间",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"恩人-受助者",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"青梅竹马之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"情敌之间",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"人 - 上帝",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"认识但不熟的人之间",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"商家-客户",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"上级-下级",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"生意伙伴之间",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"生意竞争对手之间",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"师父-徒弟",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"收银员-顾客",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
"首领-反贼",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"叔叔婶婶-侄子侄女",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"双胞胎之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"谈判中对立的双方",-1,-1,0,0,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,-1,-1
"堂兄弟姐妹之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"同父异母(或同母异父)的子女之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"继子女之间",0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,-1,-1,-1,-1,0,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,0,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"同事之间",-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,-1,0,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,-1,0,0
